x_phys_m;p_peak_Pa
0;-1.196;0
1;-1.188;0
2;-1.18;0
3;-1.172;0
4;-1.164;0
5;-1.156;0
6;-1.148;0
7;-1.14;0
8;-1.132;0
9;-1.124;0
10;-1.116;0
11;-1.108;0
12;-1.1;0
13;-1.092;0
14;-1.084;0
15;-1.076;0
16;-1.068;0
17;-1.06;0
18;-1.052;0
19;-1.044;0
20;-1.036;0
21;-1.028;0
22;-1.02;0
23;-1.012;0
24;-1.004;0
25;-0.996;0
26;-0.988;0
27;-0.98;0
28;-0.972;0
29;-0.964;0
30;-0.956;0
31;-0.948;0
32;-0.9399999999999999;0
33;-0.9319999999999999;0
34;-0.9239999999999999;0
35;-0.9159999999999999;0
36;-0.9079999999999999;0
37;-0.8999999999999999;0
38;-0.8919999999999999;0
39;-0.884;0
40;-0.8759999999999999;0
41;-0.8679999999999999;0
42;-0.86;0
43;-0.852;0
44;-0.8439999999999999;0
45;-0.836;0
46;-0.828;0
47;-0.8200000000000001;0
48;-0.8120000000000001;0
49;-0.8039999999999999;0
50;-0.796;0
51;-0.788;0
52;-0.78;0
53;-0.772;0
54;-0.764;0
55;-0.756;0
56;-0.748;0
57;-0.74;0
58;-0.732;0
59;-0.724;0
60;-0.716;0
61;-0.708;0
62;-0.7;0
63;-0.6919999999999999;0
64;-0.6839999999999999;0
65;-0.676;0
66;-0.6679999999999999;0
67;-0.6599999999999999;0
68;-0.652;0
69;-0.644;0
70;-0.636;0
71;-0.628;0
72;-0.62;0
73;-0.612;0
74;-0.604;0
75;-0.596;0
76;-0.588;0
77;-0.58;0
78;-0.572;0
79;-0.5639999999999999;0
80;-0.556;0
81;-0.5479999999999999;0
82;-0.5399999999999999;0
83;-0.532;0
84;-0.5239999999999999;0
85;-0.516;0
86;-0.508;0
87;-0.4999999999999999;0
88;-0.492;0
89;-0.484;0
90;-0.4759999999999999;0
91;-0.468;0
92;-0.46;0
93;-0.4520000000000001;0
94;-0.444;0
95;-0.4359999999999999;0
96;-0.428;0
97;-0.4199999999999999;0
98;-0.412;0
99;-0.404;0
100;-0.3959999999999999;0
101;-0.388;0
102;-0.38;0
103;-0.372;0
104;-0.364;0
105;-0.356;0
106;-0.348;0
107;-0.34;0
108;-0.332;0
109;-0.324;0
110;-0.3159999999999999;0
111;-0.3080000000000001;0
112;-0.3;0
113;-0.2919999999999999;0
114;-0.284;0
115;-0.276;0
116;-0.268;0
117;-0.26;0
118;-0.252;0
119;-0.244;0
120;-0.236;0
121;-0.228;0
122;-0.22;0
123;-0.212;0
124;-0.2040000000000001;0
125;-0.196;0
126;-0.1879999999999999;0
127;-0.1799999999999999;0
128;-0.1719999999999999;0
129;-0.1640000000000001;0
130;-0.1559999999999999;0
131;-0.1479999999999999;0
132;-0.1400000000000001;0
133;-0.1319999999999999;0
134;-0.1240000000000001;0
135;-0.1160000000000001;0
136;-0.1079999999999999;0
137;-0.1000000000000001;0
138;-0.09200000000000008;0
139;-0.08399999999999985;0
140;-0.07600000000000007;0
141;-0.06800000000000006;0
142;-0.06000000000000005;0
143;-0.05200000000000005;0
144;-0.04400000000000004;0
145;-0.03600000000000003;0
146;-0.02800000000000002;0
147;-0.02000000000000002;0.000930693423742923
148;-0.01200000000000001;0.0009836910290505329
149;-0.004000000000000004;0.001036688634358143
150;0.004000000000000004;0.001030214199060235
151;0.01200000000000001;0.0009642677231568085
152;0.02000000000000002;0.000945682721309519
153;0.02800000000000002;0.0009512810651115917
154;0.03600000000000003;0.0009792477033806794
155;0.04400000000000004;0.001043887696014281
156;0.05199999999999982;0.001077143914474923
157;0.06000000000000005;0.001016248810416679
158;0.06800000000000006;0.0009694001953115124
159;0.07599999999999985;0.0009749418750228262
160;0.08400000000000007;0.0009804835547341402
161;0.09200000000000008;0.001027536876420831
162;0.09999999999999987;0.001096445007685057
163;0.1080000000000001;0.001041397371682251
164;0.1160000000000001;0.0009863497356794439
165;0.1239999999999999;0.0009668089689209105
166;0.1320000000000001;0.0009747106788987974
167;0.1400000000000001;0.0009935654065581431
168;0.1479999999999999;0.001047654906457561
169;0.1559999999999999;0.001030362796785388
170;0.1640000000000001;0.0009833066742188134
171;0.1719999999999999;0.0009447160612641409
172;0.1799999999999999;0.0009441456046564174
173;0.1880000000000002;0.0009583887952552082
174;0.196;0.0009933494346599518
175;0.204;0.001007054392527304
176;0.2120000000000002;0.0009709608989336015
177;0.22;0.000934867405339901
178;0.228;0.0009220296983282121
179;0.2360000000000002;0.0009425217454130089
180;0.244;0.000968324865401276
181;0.252;0.000996305837646408
182;0.2599999999999998;0.0009714759137144337
183;0.268;0.0009466459897824581
184;0.276;0.0009310132882577213
185;0.2839999999999998;0.0009418536620008423
186;0.292;0.0009733828650496437
187;0.3;0.001019838293965828
188;0.3079999999999998;0.0009823733598265498
189;0.3160000000000001;0.0009608402865766645
190;0.3240000000000001;0.000946178289996169
191;0.3319999999999999;0.0009541534079592867
192;0.3400000000000001;0.0009796901791257065
193;0.3480000000000001;0.001010807951449048
194;0.3559999999999999;0.0009999702100564423
195;0.3639999999999999;0.000968114693338673
196;0.3720000000000001;0.0009510565162903126
197;0.3799999999999999;0.0009517029917939603
198;0.3879999999999999;0.0009623952236324834
199;0.3960000000000001;0.0009941919221394834
200;0.4039999999999999;0.0009861992952513302
201;0.4119999999999999;0.0009570901741002068
202;0.4200000000000002;0.0009379361719766162
203;0.4279999999999999;0.0009375225537951335
204;0.4359999999999999;0.0009445473846426465
205;0.4440000000000002;0.0009584970722122921
206;0.452;0.0009774209578366333
207;0.46;0.0009436773960866656
208;0.468;0.0009270977496877701
209;0.476;0.0009167173184929803
210;0.484;0.0009258157590981378
211;0.492;0.0009462939912312624
212;0.5;0.0009751580936002332
213;0.508;0.000951632771163228
214;0.516;0.0009349081400311357
215;0.524;0.0009212489948307243
216;0.532;0.0009251363305277968
217;0.54;0.0009525596705013111
218;0.548;0.0009799830104748252
219;0.556;0.0009615392522209731
220;0.5640000000000001;0.0009483562646467665
221;0.5719999999999998;0.0009380927806220522
222;0.5800000000000001;0.0009433743286839066
223;0.5880000000000001;0.0009523966277871902
224;0.5959999999999999;0.00097711190460662
225;0.6040000000000001;0.0009819053879315713
226;0.6119999999999999;0.0009620632830895682
227;0.6199999999999999;0.0009510565162903125
228;0.6280000000000001;0.0009510565162903125
229;0.6359999999999999;0.0009592955893458563
230;0.6439999999999999;0.0009746918408442673
231;0.6519999999999999;0.0009885601004740849
232;0.6599999999999999;0.0009614464959668114
233;0.6679999999999999;0.0009461901488126994
234;0.6759999999999999;0.0009357665816423831
235;0.6839999999999999;0.0009427915167786219
236;0.6919999999999999;0.0009541350619959604
237;0.7;0.0009760657167134921
238;0.708;0.0009483454662525524
239;0.716;0.0009296740174734928
240;0.724;0.0009226474212725103
241;0.732;0.0009201987933435398
242;0.74;0.0009363392447994555
243;0.748;0.0009571624329328185
244;0.7559999999999998;0.0009451458247591903
245;0.764;0.0009277103268080585
246;0.772;0.000919658352904662
247;0.7799999999999998;0.0009298037029717907
248;0.788;0.0009540325065669703
249;0.796;0.000978261310162149
250;0.804;0.000963674009302243
251;0.8120000000000001;0.0009510696955233773
252;0.8200000000000001;0.0009450775616642205
253;0.8280000000000001;0.0009391075473104138
254;0.8360000000000001;0.0009664197308363027
255;0.8440000000000001;0.000998323695027163
256;0.8520000000000001;0.001010217101878273
257;0.8599999999999997;0.0009648095460458236
258;0.8680000000000001;0.00095597094559101
259;0.8760000000000001;0.000956272174747331
260;0.8839999999999997;0.0009632773953550584
261;0.8920000000000001;0.0009817301459285471
262;0.9000000000000001;0.001019969608326694
263;0.9079999999999997;0.0009787453630391021
264;0.9160000000000001;0.0009481797013601557
265;0.9240000000000002;0.0009431218046302094
266;0.9319999999999997;0.0009604334723189816
267;0.9400000000000002;0.000978034733088862
268;0.9480000000000002;0.0009956359938587413
269;0.9559999999999997;0.0009837346978262469
270;0.9639999999999997;0.0009528930306502553
271;0.9720000000000002;0.0009326891209032817
272;0.9799999999999998;0.0009517291567438702
273;0.9879999999999998;0.0009707691925844597
274;0.9960000000000002;0.0009898092284250503
275;1.004;0.0009932136209924169
276;1.012;0.0009697465467130928
277;1.02;0.0009477832101765667
278;1.028;0.0009481896081827767
279;1.036;0.0009784835420456747
280;1.044;0.001008777475908574
281;1.052;0.001017271922585983
282;1.06;0.0009822006873340193
283;1.068;0.000976291184294193
284;1.076;0.0009703816812543665
285;1.084;0.0009741319161912533
286;1.092;0.001011150498852657
287;1.1;0.00104816908151406
288;1.108;0.0009995285988043192
289;1.116;0.0009874585589750497
290;1.124;0.0009821186811010802
291;1.132;0.0009805027363230085
292;1.14;0.0009948587182104032
293;1.148;0.001041217914098523
294;1.156;0.001025449053243696
295;1.164;0.0009889708401412168
296;1.172;0.0009824358041684411
297;1.18;0.0009963733543675818
298;1.188;0.001010310904566722
299;1.196;0.001024248454765863
