x_phys_m;p_rms_Pa
0;-1.196;0
1;-1.188;0
2;-1.18;0
3;-1.172;0
4;-1.164;0
5;-1.156;0
6;-1.148;0
7;-1.14;0
8;-1.132;0
9;-1.124;0
10;-1.116;0
11;-1.108;0
12;-1.1;0
13;-1.092;0
14;-1.084;0
15;-1.076;0
16;-1.068;0
17;-1.06;0
18;-1.052;0
19;-1.044;0
20;-1.036;0
21;-1.028;0
22;-1.02;0
23;-1.012;0
24;-1.004;0
25;-0.996;0
26;-0.988;0
27;-0.98;0
28;-0.972;0
29;-0.964;0
30;-0.956;0
31;-0.948;0
32;-0.9399999999999999;0
33;-0.9319999999999999;0
34;-0.9239999999999999;0
35;-0.9159999999999999;0
36;-0.9079999999999999;0
37;-0.8999999999999999;0
38;-0.8919999999999999;0
39;-0.884;0
40;-0.8759999999999999;0
41;-0.8679999999999999;0
42;-0.86;0
43;-0.852;0
44;-0.8439999999999999;0
45;-0.836;0
46;-0.828;0
47;-0.8200000000000001;0
48;-0.8120000000000001;0
49;-0.8039999999999999;0
50;-0.796;0
51;-0.788;0
52;-0.78;0
53;-0.772;0
54;-0.764;0
55;-0.756;0
56;-0.748;0
57;-0.74;0
58;-0.732;0
59;-0.724;0
60;-0.716;0
61;-0.708;0
62;-0.7;0
63;-0.6919999999999999;0
64;-0.6839999999999999;0
65;-0.676;0
66;-0.6679999999999999;0
67;-0.6599999999999999;0
68;-0.652;0
69;-0.644;0
70;-0.636;0
71;-0.628;0
72;-0.62;0
73;-0.612;0
74;-0.604;0
75;-0.596;0
76;-0.588;0
77;-0.58;0
78;-0.572;0
79;-0.5639999999999999;0
80;-0.556;0
81;-0.5479999999999999;0
82;-0.5399999999999999;0
83;-0.532;0
84;-0.5239999999999999;0
85;-0.516;0
86;-0.508;0
87;-0.4999999999999999;0
88;-0.492;0
89;-0.484;0
90;-0.4759999999999999;0
91;-0.468;0
92;-0.46;0
93;-0.4520000000000001;0
94;-0.444;0
95;-0.4359999999999999;0
96;-0.428;0
97;-0.4199999999999999;0
98;-0.412;0
99;-0.404;0
100;-0.3959999999999999;0
101;-0.388;0
102;-0.38;0
103;-0.372;0
104;-0.364;0
105;-0.356;0
106;-0.348;0
107;-0.34;0
108;-0.332;0
109;-0.324;0
110;-0.3159999999999999;0
111;-0.3080000000000001;0
112;-0.3;0
113;-0.2919999999999999;0
114;-0.284;0
115;-0.276;0
116;-0.268;0
117;-0.26;0
118;-0.252;0
119;-0.244;0
120;-0.236;0
121;-0.228;0
122;-0.22;0
123;-0.212;0
124;-0.2040000000000001;0
125;-0.196;0
126;-0.1879999999999999;0
127;-0.1799999999999999;0
128;-0.1719999999999999;0
129;-0.1640000000000001;0
130;-0.1559999999999999;0
131;-0.1479999999999999;0
132;-0.1400000000000001;0
133;-0.1319999999999999;0
134;-0.1240000000000001;0
135;-0.1160000000000001;0
136;-0.1079999999999999;0
137;-0.1000000000000001;0
138;-0.09200000000000008;0
139;-0.08399999999999985;0
140;-0.07600000000000007;0
141;-0.06800000000000006;0
142;-0.06000000000000005;0
143;-0.05200000000000005;0
144;-0.04400000000000004;0
145;-0.03600000000000003;0
146;-0.02800000000000002;0
147;-0.02000000000000002;0
148;-0.01200000000000001;0
149;-0.004000000000000004;0
150;0.004000000000000004;0.0006700099129208099
151;0.01200000000000001;0.0006678271386250524
152;0.02000000000000002;0.0006651552511512235
153;0.02800000000000002;0.0006625892866156756
154;0.03600000000000003;0.0006605522122225429
155;0.04400000000000004;0.0006589694234317464
156;0.05199999999999982;0.0006571107073439287
157;0.06000000000000005;0.0006560101056834943
158;0.06800000000000006;0.0006557110296634046
159;0.07599999999999985;0.0006555933603361314
160;0.08400000000000007;0.0006558207913810866
161;0.09200000000000008;0.0006568574254697833
162;0.09999999999999987;0.0006586643097035943
163;0.1080000000000001;0.0006600508982302108
164;0.1160000000000001;0.0006620734120832717
165;0.1239999999999999;0.0006646468816377535
166;0.1320000000000001;0.0006671867118251493
167;0.1400000000000001;0.0006694267718193441
168;0.1479999999999999;0.0006719222818785939
169;0.1559999999999999;0.0006745789043668923
170;0.1640000000000001;0.0006763135020630669
171;0.1719999999999999;0.0006778742558519159
172;0.1799999999999999;0.0006793634887044642
173;0.1880000000000002;0.0006803985125836699
174;0.196;0.0006804453554339439
175;0.204;0.00068032505819755
176;0.2120000000000002;0.0006800421555787589
177;0.22;0.0006787852507084141
178;0.228;0.0006770969303371594
179;0.2360000000000002;0.0006753674606099648
180;0.244;0.0006735016029653717
181;0.252;0.0006707583420177772
182;0.2599999999999998;0.0006682232483561182
183;0.268;0.0006659929298019229
184;0.276;0.0006635138567516975
185;0.2839999999999998;0.0006610501130812174
186;0.292;0.000659181604785204
187;0.3;0.0006579876711708195
188;0.3079999999999998;0.0006564060245798535
189;0.3160000000000001;0.0006556164849112704
190;0.3240000000000001;0.0006556480211150665
191;0.3319999999999999;0.0006560260235729204
192;0.3400000000000001;0.0006565757850042908
193;0.3480000000000001;0.0006579069549435116
194;0.3559999999999999;0.0006599668671396387
195;0.3639999999999999;0.0006617129240236583
196;0.3720000000000001;0.0006638694864943104
197;0.3799999999999999;0.0006665069730430653
198;0.3879999999999999;0.0006691999795682753
199;0.3960000000000001;0.0006713533942583915
200;0.4039999999999999;0.0006736901912167216
201;0.4119999999999999;0.0006761210663575912
202;0.4200000000000002;0.0006777344804153041
203;0.4279999999999999;0.0006789579363104752
204;0.4359999999999999;0.0006800711700697113
205;0.4440000000000002;0.0006808707437042437
206;0.452;0.0006805021477145737
207;0.46;0.0006799676691470607
208;0.468;0.0006792854935969599
209;0.476;0.0006778251905524651
210;0.484;0.0006758083706597775
211;0.492;0.0006738024914179039
212;0.5;0.0006718868720792924
213;0.508;0.0006690001014204527
214;0.516;0.0006663948477555965
215;0.524;0.000664169578850995
216;0.532;0.0006619339169111202
217;0.54;0.0006596215692983425
218;0.548;0.0006579665301263019
219;0.556;0.0006570381148772007
220;0.5640000000000001;0.0006559237280084108
221;0.5719999999999998;0.0006554645175214033
222;0.5800000000000001;0.0006558350774880334
223;0.5880000000000001;0.0006567055353443719
224;0.5959999999999999;0.00065756273569928
225;0.6040000000000001;0.0006591630719136857
226;0.6119999999999999;0.0006614413494446799
227;0.6199999999999999;0.0006635047881228186
228;0.6280000000000001;0.0006657469176102425
229;0.6359999999999999;0.0006683964712023859
230;0.6439999999999999;0.0006711903426941501
231;0.6519999999999999;0.0006732047812100263
232;0.6599999999999999;0.0006753338768212614
233;0.6679999999999999;0.000677495355743166
234;0.6759999999999999;0.000678951774140229
235;0.6839999999999999;0.0006798101143676015
236;0.6919999999999999;0.0006805293866186041
237;0.7;0.000681086336292418
238;0.708;0.0006803061285455463
239;0.716;0.0006793723186530974
240;0.724;0.0006783163230448519
241;0.732;0.0006766873391113786
242;0.74;0.0006743857312260686
243;0.748;0.0006721540909320684
244;0.7559999999999998;0.0006700791967534096
245;0.764;0.0006672715636245317
246;0.772;0.0006646549599648588
247;0.7799999999999998;0.0006624916826067686
248;0.788;0.0006605510021288101
249;0.796;0.0006584354952487311
250;0.804;0.0006570307507740866
251;0.8120000000000001;0.0006563944161600566
252;0.8200000000000001;0.0006557614041618888
253;0.8280000000000001;0.0006556347849238334
254;0.8360000000000001;0.0006563344753073547
255;0.8440000000000001;0.0006576760126756053
256;0.8520000000000001;0.0006588079759714707
257;0.8599999999999997;0.0006606358170484042
258;0.8680000000000001;0.0006630836674387313
259;0.8760000000000001;0.0006654113283326783
260;0.8839999999999997;0.0006676821871588271
261;0.8920000000000001;0.0006702864177924943
262;0.9000000000000001;0.0006731262425215991
263;0.9079999999999997;0.0006749492442437975
264;0.9160000000000001;0.000676823252308749
265;0.9240000000000002;0.0006786743527253615
266;0.9319999999999997;0.00067994105506846
267;0.9400000000000002;0.0006804093597560558
268;0.9480000000000002;0.0006807186285367986
269;0.9559999999999997;0.0006808590730592181
270;0.9639999999999997;0.0006798371099055759
271;0.9720000000000002;0.0006785159541308892
272;0.9799999999999998;0.0006771069231899526
273;0.9879999999999998;0.0006753378295659213
274;0.9960000000000002;0.0006727881981442216
275;1.004;0.0006703737840146138
276;1.012;0.0006681874512324581
277;1.02;0.0006655093946007512
278;1.028;0.0006629341037934931
279;1.036;0.0006608846997119599
280;1.044;0.0006592872670801752
281;1.052;0.0006574125561137738
282;1.06;0.0006562948276980181
283;1.068;0.0006559782808675803
284;1.076;0.0006558437026112919
285;1.084;0.0006560554508265281
286;1.092;0.0006570782592607797
287;1.1;0.0006588737989011341
288;1.108;0.0006602520331404731
289;1.116;0.0006622695027029471
290;1.124;0.0006648414569013335
291;1.132;0.0006673833270668203
292;1.14;0.0006696288599201379
293;1.148;0.0006721331042537859
294;1.156;0.0006748013897886366
295;1.164;0.0006765498951676768
296;1.172;0.0006781264159072873
297;1.18;0.0006796327238256646
298;1.188;0.0006806853721375949
299;1.196;0.0006807494978216756
