iT;t;p1;p2
0;0;0.0005877852522833867;-0.0009510565163092602
1;0.00078125;0.0007225354066425401;-0.0009906716877878807
2;0.0015625;0.0008333310583073702;-0.0009978516804191411
3;0.00234375;0.0009169700218573477;-0.0009725551600373213
4;0.003125;0.0009704214861775048;-0.000915522342817591
5;0.00390625;0.0009923015709887295;-0.0008287807535983424
6;0.004687500000000001;0.0009816558598837826;-0.0007150912669923551
7;0.005468750000000001;0.0009391432201937278;-0.0005783018589985053
8;0.00625;0.0008659563381456792;-0.0004228135418979188
9;0.00703125;0.0007647480437829776;-0.0002538086580538372
10;0.0078125;0.000638658396402055;-7.673985534969081e-05
11;0.008593750000000001;0.0004920207093732643;0.0001025360554649524
12;0.009375000000000001;0.0003294777874884858;0.0002782352332057296
13;0.01015625;0.0001565078755447757;0.0004445739945898216
14;0.0109375;-2.137561912718411e-05;0.0005961966328982271
15;0.01171875;-0.0001982361242482966;0.0007281306178394212
16;0.0125;-0.0003684277315301188;0.000836148567126808
17;0.01328125;-0.0005263031315128804;0.0009167217323238219
18;0.0140625;-0.0006668329797889783;0.0009673018568795063
19;0.01484375;-0.0007853704236803575;0.0009862492798333733
20;0.015625;-0.0008781666244791116;0.0009730255692185589
21;0.01640625;-0.0009421578283100492;0.0009280807717762704
22;0.0171875;-0.0009753696947996104;0.000852954905989615
23;0.01796875;-0.0009767004861392554;0.0007501182888631774
24;0.01875;-0.0009462116490415914;0.000622988111331324
25;0.01953125;-0.0008848899854380458;0.0004757252656114967
26;0.0203125;-0.00079482858267473;0.0003131801114098683
27;0.02109375;-0.0006789608812501532;0.0001406576688888587
28;0.021875;-0.0005411434592588193;-3.618680924925381e-05
29;0.02265625;-0.0003858646841384446;-0.0002115960171522602
30;0.0234375;-0.0002182478825242621;-0.0003798403545924127
31;0.02421875;-4.37457013428381e-05;-0.0005354575003290544
32;0.025;0.0001319122444556342;-0.0006733810224469986
33;0.02578125;0.0003030220026592663;-0.0007891483692219481
34;0.0265625;0.0004639858477730741;-0.0008790028440538814
35;0.02734375;0.0006095913763980813;-0.0009400493607737795
36;0.028125;0.0007350926621067325;-0.0009703104360691365
37;0.02890625;0.0008364453324437212;-0.0009688200152027093
38;0.0296875;0.0009103634541437108;-0.0009356316971794362
