x_phys_m;y_phys_m;z_phys_m;p_rms_Pa
145;0.5687500000000001;0.5687500000000001;0;2.095903002890373e-05
146;0.58125;0.58125;0;2.023819706927577e-05
147;0.59375;0.59375;0;1.945549620208376e-05
148;0.6062500000000002;0.6062500000000002;0;1.861160729373774e-05
149;0.6187500000000001;0.6187500000000001;0;1.7707960483632e-05
150;0.6312499999999999;0.6312499999999999;0;1.695126917239707e-05
151;0.6437499999999998;0.6437499999999998;0;1.639523300269896e-05
152;0.65625;0.65625;0;1.607556017088423e-05
153;0.66875;0.66875;0;1.583892119290707e-05
154;0.6812499999999999;0.6812499999999999;0;1.553824335001743e-05
155;0.6937499999999999;0.6937499999999999;0;1.501562672152568e-05
156;0.7062499999999998;0.7062499999999998;0;1.428761940026483e-05
157;0.71875;0.71875;0;1.34004804011571e-05
158;0.73125;0.73125;0;1.255004014492741e-05
159;0.7437499999999999;0.7437499999999999;0;1.182715167058532e-05
160;0.7562500000000001;0.7562500000000001;0;1.135950157521655e-05
161;0.7687499999999998;0.7687499999999998;0;1.108910867790232e-05
162;0.78125;0.78125;0;1.098408887029591e-05
163;0.7937500000000002;0.7937500000000002;0;1.09461849541742e-05
164;0.8062499999999999;0.8062499999999999;0;1.091696447029518e-05
165;0.8187500000000001;0.8187500000000001;0;1.08151758795396e-05
166;0.8312499999999998;0.8312499999999998;0;1.057503708413494e-05
167;0.84375;0.84375;0;1.011680647654499e-05
168;0.8562500000000002;0.8562500000000002;0;9.453519378516612e-06
169;0.8687499999999999;0.8687499999999999;0;8.61271563480444e-06
170;0.8812500000000001;0.8812500000000001;0;7.81851697765864e-06
171;0.8937500000000003;0.8937500000000003;0;7.258690826018804e-06
172;0.90625;0.90625;0;7.160523148268418e-06
173;0.9187500000000002;0.9187500000000002;0;7.459858117049041e-06
174;0.9312500000000004;0.9312500000000004;0;7.915258108255046e-06
175;0.9437499999999996;0.9437499999999996;0;8.274956430891836e-06
176;0.9562499999999998;0.9562499999999998;0;8.341169210119693e-06
177;0.96875;0.96875;0;8.052126328286904e-06
178;0.9812499999999997;0.9812499999999997;0;7.445959557498713e-06
179;0.9937499999999999;0.9937499999999999;0;6.587411480161789e-06
180;1.00625;1.00625;0;5.6673799302853e-06
181;1.01875;1.01875;0;4.824235070525183e-06
182;1.03125;1.03125;0;4.332186404651861e-06
183;1.04375;1.04375;0;4.299739063815071e-06
184;1.05625;1.05625;0;4.683841869394201e-06
185;1.06875;1.06875;0;5.248928214045233e-06
186;1.08125;1.08125;0;5.747119440001931e-06
187;1.09375;1.09375;0;6.050048391638466e-06
188;1.10625;1.10625;0;6.039500735310776e-06
189;1.11875;1.11875;0;5.702318049971173e-06
190;1.13125;1.13125;0;5.160524579482061e-06
191;1.14375;1.14375;0;4.46548208282719e-06
192;1.15625;1.15625;0;3.727444801377973e-06
193;1.16875;1.16875;0;3.039125422452579e-06
194;1.18125;1.18125;0;2.554027848391298e-06
195;1.19375;1.19375;0;2.11769705931308e-06
196;1.20625;1.20625;0;1.895528795906682e-06
197;1.21875;1.21875;0;2.199526269216912e-06
198;1.23125;1.23125;0;2.757786624667856e-06
199;1.24375;1.24375;0;3.244897618322377e-06
