x_phys_m;y_phys_m;z_phys_m;p_peak_Pa
132;0.40625;0.40625;0;6.392374798736006e-05
133;0.41875;0.41875;0;6.162909578459142e-05
134;0.4312499999999999;0.4312499999999999;0;5.992056383992886e-05
135;0.4437500000000001;0.4437500000000001;0;5.78659809609879e-05
136;0.45625;0.45625;0;5.443972932302667e-05
137;0.46875;0.46875;0;5.224354689422248e-05
138;0.48125;0.48125;0;5.010450411901962e-05
139;0.4937499999999999;0.4937499999999999;0;4.843252778622777e-05
140;0.5062500000000001;0.5062500000000001;0;4.702385680843688e-05
141;0.51875;0.51875;0;4.533091087447853e-05
142;0.53125;0.53125;0;4.44735207712673e-05
143;0.5437500000000002;0.5437500000000002;0;4.387387416452763e-05
144;0.5562500000000001;0.5562500000000001;0;4.300914448881103e-05
145;0.5687500000000001;0.5687500000000001;0;4.163614324189287e-05
146;0.58125;0.58125;0;3.966186850116554e-05
147;0.59375;0.59375;0;3.740822788245167e-05
148;0.6062500000000002;0.6062500000000002;0;3.606604361057936e-05
149;0.6187500000000001;0.6187500000000001;0;3.507170064409593e-05
150;0.6312499999999999;0.6312499999999999;0;3.415861037344337e-05
151;0.6437499999999998;0.6437499999999998;0;3.332681200163273e-05
152;0.65625;0.65625;0;3.328430998550404e-05
153;0.66875;0.66875;0;3.381288229320484e-05
154;0.6812499999999999;0.6812499999999999;0;3.612650426513635e-05
155;0.6937499999999999;0.6937499999999999;0;3.798284479235764e-05
156;0.7062499999999998;0.7062499999999998;0;3.854059536934084e-05
157;0.71875;0.71875;0;3.374816246074875e-05
158;0.73125;0.73125;0;2.699035050568456e-05
159;0.7437499999999999;0.7437499999999999;0;2.645099731779509e-05
160;0.7562500000000001;0.7562500000000001;0;2.586419791820539e-05
161;0.7687499999999998;0.7687499999999998;0;2.564208578093026e-05
162;0.78125;0.78125;0;2.576713049033211e-05
163;0.7937500000000002;0.7937500000000002;0;2.650828931412743e-05
164;0.8062499999999999;0.8062499999999999;0;2.908589357275551e-05
165;0.8187500000000001;0.8187500000000001;0;3.136504265436688e-05
166;0.8312499999999998;0.8312499999999998;0;3.197205742348311e-05
167;0.84375;0.84375;0;3.125586020757967e-05
168;0.8562500000000002;0.8562500000000002;0;2.855393800397598e-05
169;0.8687499999999999;0.8687499999999999;0;2.377246612657782e-05
170;0.8812500000000001;0.8812500000000001;0;2.005819341140597e-05
171;0.8937500000000003;0.8937500000000003;0;2.007856854883513e-05
172;0.90625;0.90625;0;2.023394966007193e-05
173;0.9187500000000002;0.9187500000000002;0;2.033531053768912e-05
174;0.9312500000000004;0.9312500000000004;0;2.25951492609511e-05
175;0.9437499999999996;0.9437499999999996;0;2.521055888375166e-05
176;0.9562499999999998;0.9562499999999998;0;2.732826879991985e-05
177;0.96875;0.96875;0;2.843612302664647e-05
178;0.9812499999999997;0.9812499999999997;0;2.611006154040765e-05
179;0.9937499999999999;0.9937499999999999;0;2.299888464563086e-05
180;1.00625;1.00625;0;1.893625563316917e-05
181;1.01875;1.01875;0;1.563873998833286e-05
182;1.03125;1.03125;0;1.569734490658447e-05
183;1.04375;1.04375;0;1.572652524591452e-05
184;1.05625;1.05625;0;1.594588037079346e-05
185;1.06875;1.06875;0;1.745106198332751e-05
186;1.08125;1.08125;0;1.942368692198215e-05
187;1.09375;1.09375;0;2.079513872862055e-05
188;1.10625;1.10625;0;2.114047388583154e-05
189;1.11875;1.11875;0;2.035835735133181e-05
190;1.13125;1.13125;0;1.887580426303731e-05
191;1.14375;1.14375;0;1.790611773818303e-05
192;1.15625;1.15625;0;1.589272634798069e-05
193;1.16875;1.16875;0;1.307207805704519e-05
194;1.18125;1.18125;0;1.153845095321541e-05
195;1.19375;1.19375;0;9.208807682625814e-06
196;1.20625;1.20625;0;7.545390876847107e-06
197;1.21875;1.21875;0;9.75404468780042e-06
198;1.23125;1.23125;0;1.17054002733615e-05
199;1.24375;1.24375;0;1.313479466110346e-05
