x_phys_m;p_rms_Pa
62;-0.46875;5.064038250679965e-05
63;-0.45625;5.258319181034635e-05
64;-0.44375;5.408867383716683e-05
65;-0.4312499999999999;5.613318141369417e-05
66;-0.41875;5.84263974646684e-05
67;-0.40625;6.136471183916352e-05
68;-0.3937499999999999;6.393446661846606e-05
69;-0.3812500000000001;6.693076978603503e-05
70;-0.36875;6.956301073774165e-05
71;-0.3562500000000001;7.323305160204434e-05
72;-0.34375;7.691056398057076e-05
73;-0.33125;8.098237455501677e-05
74;-0.31875;8.433375298143162e-05
75;-0.30625;8.905844915510735e-05
76;-0.29375;9.321637750699171e-05
77;-0.28125;9.810599908817856e-05
78;-0.2687499999999999;0.000103054949886836
79;-0.25625;0.0001086270135455817
80;-0.2437499999999999;0.0001158057814051148
81;-0.2312500000000002;0.0001279562569618198
82;-0.21875;0.0001358876610226214
83;-0.20625;0.0001438285792795439
84;-0.1937500000000001;0.0001541493581076389
85;-0.1812499999999999;0.0001688105204836677
86;-0.16875;0.0001827669259121462
87;-0.15625;0.0001977139265435572
88;-0.14375;0.0002070755973991672
89;-0.1312500000000001;0.0002227457052917015
90;-0.1187499999999999;0.0002588236187229961
91;-0.10625;0.0003121639978083674
92;-0.09375;0.0003540788257609915
93;-0.08124999999999982;0.0004138255400977396
94;-0.06875000000000009;0.0006357165107033409
95;-0.05625000000000013;0.001108341776403304
96;-0.04374999999999996;0.001363501613234221
97;-0.03125;0.001363501613232936
98;-0.01875000000000004;0.001363501613233348
99;-0.006250000000000089;0.001363501613235456
100;0.006249999999999867;0.001363501613235746
101;0.01874999999999982;0.001363501613234215
102;0.03125;0.001163386537347363
103;0.04374999999999996;0.0007735406705219871
104;0.05624999999999991;0.0005494165392025766
105;0.06874999999999987;0.0004909856163258942
106;0.08124999999999982;0.0004436419516704738
107;0.09375;0.0003987170300812385
108;0.10625;0.0003333472335415041
109;0.1187499999999999;0.0002472029437858265
110;0.1312500000000001;0.0002166613754152109
111;0.14375;0.0002074160339831548
112;0.15625;0.0001964175026200406
113;0.16875;0.0001822423345452338
114;0.1812499999999999;0.0001681453077774231
115;0.1937500000000001;0.0001530234162078716
116;0.20625;0.0001435618250444817
117;0.21875;0.0001349458402056497
118;0.2312500000000002;0.0001264828500502239
119;0.2437500000000001;0.0001160208141962589
120;0.2562500000000001;0.0001095990627912577
121;0.26875;0.000103467929121841
122;0.28125;9.764740487150412e-05
123;0.2937500000000002;9.224473837922539e-05
124;0.3062500000000001;8.850740534163432e-05
125;0.3187499999999999;8.432181990091373e-05
126;0.3312499999999998;8.118124880626991e-05
127;0.34375;7.703614798253612e-05
128;0.35625;7.322032539959474e-05
129;0.3687499999999999;6.959924226110906e-05
130;0.3812499999999999;6.685919271237551e-05
131;0.3937499999999998;6.366356088287098e-05
132;0.40625;6.114422557805054e-05
133;0.41875;5.847108592637915e-05
134;0.4312499999999999;5.637658127097651e-05
135;0.4437500000000001;5.425559479508459e-05
136;0.45625;5.256180668730194e-05
137;0.46875;5.049467140514073e-05
138;0.48125;4.882242087532842e-05
139;0.4937499999999999;4.703653864892002e-05
140;0.5062500000000001;4.543322221657429e-05
141;0.51875;4.348146047403365e-05
142;0.53125;4.192459606675698e-05
143;0.5437500000000002;4.031491974979223e-05
144;0.5562500000000001;3.909974592060226e-05
145;0.5687500000000001;3.786253545410775e-05
146;0.58125;3.681104019407453e-05
147;0.59375;3.553179896044227e-05
148;0.6062500000000002;3.45122321078703e-05
149;0.6187500000000001;3.339660695018543e-05
150;0.6312499999999999;3.249734848224106e-05
151;0.6437499999999998;3.150535403859439e-05
152;0.65625;3.068762232268958e-05
153;0.66875;2.9719783544915e-05
154;0.6812499999999999;2.885546954689989e-05
155;0.6937499999999999;2.779609996378798e-05
156;0.7062499999999998;2.682721676344874e-05
157;0.71875;2.576819083330047e-05
158;0.73125;2.499291639403822e-05
159;0.7437499999999999;2.433031180362051e-05
160;0.7562500000000001;2.400735806997079e-05
161;0.7687499999999998;2.374487046348181e-05
162;0.78125;2.355994567070506e-05
163;0.7937500000000002;2.312245552472987e-05
164;0.8062499999999999;2.247131954313205e-05
165;0.8187500000000001;2.139838343599485e-05
166;0.8312499999999998;2.021374655161258e-05
167;0.84375;1.893102641930458e-05
168;0.8562500000000002;1.808986100024553e-05
169;0.8687499999999999;1.772324662993427e-05
170;0.8812500000000001;1.799577575491187e-05
171;0.8937500000000003;1.854884047662554e-05
172;0.90625;1.904531156415388e-05
173;0.9187500000000002;1.908348351983142e-05
174;0.9312500000000004;1.851923193279907e-05
175;0.9437499999999996;1.720305037683814e-05
176;0.9562499999999998;1.552362000244468e-05
177;0.96875;1.36990250887458e-05
178;0.9812499999999997;1.263144405115597e-05
179;0.9937499999999999;1.266419030295623e-05
180;1.00625;1.378263854051541e-05
181;1.01875;1.531882018483966e-05
182;1.03125;1.650384372923639e-05
183;1.04375;1.691209872413648e-05
184;1.05625;1.630749637889844e-05
185;1.06875;1.45884983527492e-05
186;1.08125;1.219880837578498e-05
187;1.09375;9.484263661080881e-06
188;1.10625;7.974245230118881e-06
189;1.11875;8.725052837544626e-06
190;1.13125;1.10825920030466e-05
191;1.14375;1.370287081044101e-05
192;1.15625;1.549842351885547e-05
193;1.16875;1.616217080009169e-05
194;1.18125;1.544773172741772e-05
195;1.19375;1.32841013313762e-05
196;1.20625;1.008899657314036e-05
197;1.21875;6.011276862152892e-06
198;1.23125;3.217236161924083e-06
199;1.24375;5.755984758539047e-06
