iT;t;p
0;0;1.03615e-319
1;0.00078125;1.03615e-319
2;0.0015625;1.03615e-319
3;0.00234375;1.03615e-319
4;0.003125;1.03615e-319
5;0.00390625;1.03615e-319
6;0.0046875;1.03615e-319
7;0.00546875;1.03615e-319
8;0.00625;1.03615e-319
9;0.00703125;1.03615e-319
10;0.0078125;1.03615e-319
11;0.00859375;1.03615e-319
12;0.009375;1.03615e-319
13;0.0101563;1.03615e-319
14;0.0109375;1.03615e-319
15;0.0117188;1.03615e-319
16;0.0125;1.03615e-319
17;0.0132813;1.03615e-319
18;0.0140625;1.03615e-319
19;0.0148438;1.03615e-319
20;0.015625;1.03615e-319
21;0.0164063;1.03615e-319
22;0.0171875;1.03615e-319
23;0.0179688;1.03615e-319
24;0.01875;1.03615e-319
25;0.0195312;1.03615e-319
26;0.0203125;1.03615e-319
27;0.0210938;1.03615e-319
28;0.021875;1.03615e-319
29;0.0226563;1.03615e-319
30;0.0234375;1.03615e-319
31;0.0242188;1.03615e-319
32;0.025;1.03615e-319
33;0.0257813;1.03615e-319
34;0.0265625;1.03615e-319
35;0.0273438;1.03615e-319
36;0.028125;1.03615e-319
37;0.0289063;1.03615e-319
38;0.0296875;1.03615e-319
39;0.0304688;1.03615e-319
40;0.03125;1.03615e-319
41;0.0320313;1.03615e-319
42;0.0328125;1.03615e-319
43;0.0335937;1.03615e-319
44;0.034375;1.03615e-319
45;0.0351562;1.03615e-319
46;0.0359375;1.03615e-319
47;0.0367188;1.03615e-319
48;0.0375;1.03615e-319
49;0.0382813;1.03615e-319
50;0.0390625;1.03615e-319
51;0.0398438;1.03615e-319
52;0.040625;1.03615e-319
53;0.0414063;1.03615e-319
54;0.0421875;1.03615e-319
55;0.0429688;1.03615e-319
56;0.04375;1.03615e-319
57;0.0445313;1.03615e-319
58;0.0453125;1.03615e-319
59;0.0460938;1.03615e-319
60;0.046875;1.03615e-319
61;0.0476563;1.03615e-319
62;0.0484375;1.03615e-319
63;0.0492188;1.03615e-319
64;0.05;1.03615e-319
65;0.0507812;1.03615e-319
66;0.0515625;1.03615e-319
67;0.0523438;1.03615e-319
68;0.053125;1.03615e-319
69;0.0539063;1.03615e-319
70;0.0546875;1.03615e-319
71;0.0554688;1.03615e-319
72;0.05625;1.03615e-319
73;0.0570313;1.03615e-319
74;0.0578125;1.03615e-319
75;0.0585938;1.03615e-319
76;0.059375;1.03615e-319
77;0.0601563;1.03615e-319
78;0.0609375;1.03615e-319
79;0.0617188;1.03615e-319
80;0.0625;1.03615e-319
81;0.0632812;1.03615e-319
82;0.0640625;1.03615e-319
83;0.0648438;1.03615e-319
84;0.065625;1.03615e-319
85;0.0664062;1.03615e-319
86;0.0671875;1.03615e-319
87;0.0679688;1.03615e-319
88;0.06875;1.03615e-319
89;0.0695313;1.03615e-319
90;0.0703125;1.03615e-319
91;0.0710937;1.03615e-319
92;0.071875;1.03615e-319
93;0.0726563;1.03615e-319
94;0.0734375;1.03615e-319
95;0.0742188;1.03615e-319
96;0.075;1.03615e-319
97;0.0757813;1.03615e-319
98;0.0765625;1.03615e-319
99;0.0773438;1.03615e-319
100;0.078125;1.03615e-319
101;0.0789063;1.03615e-319
102;0.0796875;1.03615e-319
103;0.0804688;1.03615e-319
104;0.08125;1.03615e-319
105;0.0820312;1.03615e-319
106;0.0828125;1.03615e-319
107;0.0835938;1.03615e-319
108;0.084375;1.03615e-319
109;0.0851563;1.03615e-319
110;0.0859375;1.03615e-319
111;0.0867188;1.03615e-319
112;0.0875;1.03615e-319
113;0.0882813;1.03615e-319
114;0.0890625;1.03615e-319
115;0.0898438;1.03615e-319
116;0.090625;1.03615e-319
117;0.0914063;1.03615e-319
118;0.0921875;1.03615e-319
119;0.0929688;1.03615e-319
120;0.09375;1.03615e-319
121;0.0945313;1.03615e-319
122;0.0953125;1.03615e-319
123;0.0960938;1.03615e-319
124;0.096875;1.03615e-319
125;0.0976562;1.03615e-319
126;0.0984375;1.03615e-319
127;0.0992188;1.03615e-319
128;0.1;1.03615e-319
129;0.100781;1.03615e-319
130;0.101562;1.03615e-319
131;0.102344;1.03615e-319
132;0.103125;1.03615e-319
133;0.103906;1.03615e-319
134;0.104688;1.03615e-319
135;0.105469;1.03615e-319
136;0.10625;1.03615e-319
137;0.107031;1.03615e-319
138;0.107813;1.03615e-319
139;0.108594;1.03615e-319
140;0.109375;1.03615e-319
141;0.110156;1.03615e-319
142;0.110938;1.03615e-319
143;0.111719;1.03615e-319
144;0.1125;1.03615e-319
145;0.113281;1.03615e-319
146;0.114063;1.03615e-319
147;0.114844;1.03615e-319
148;0.115625;1.03615e-319
149;0.116406;1.03615e-319
