iT;t;p1;p2
0;0;0;0
1;0.00078125;-0.0004082463373341246;-0.0004082463373341246
2;0.0015625;-0.0007299117930585908;-0.0007299117930585908
3;0.00234375;-0.0009099202075522802;-0.0009099202075522802
4;0.003125;-0.0009084424919668285;-0.0009084424919668285
5;0.00390625;-0.0007330954328400215;-0.0007330954328400215
6;0.004687500000000001;-0.0004143362395817955;-0.0004143362395817955
7;0.005468750000000001;-2.026671085294159e-05;-2.026671085294159e-05
8;0.00625;0.0003762554232859354;0.0003762554232859354
9;0.00703125;0.000694111929438653;0.0006940168808379591
10;0.0078125;0.0008767789485849183;0.0008757442802789228
11;0.008593750000000001;0.0008896483283630611;0.0008838736796784966
12;0.009375000000000001;0.0007433175235481334;0.0007216447013623414
13;0.01015625;0.0004799123380507808;0.0004192043033981463
14;0.0109375;0.0001727756783793666;3.937637518447445e-05
15;0.01171875;-0.0001108050781700361;-0.0003458169042668639
16;0.0125;-0.0003277088538501023;-0.0006591280074417227
17;0.01328125;-0.0004822501958111995;-0.0008424661117582369
18;0.0140625;-0.0006007209586963805;-0.0008594048164525248
19;0.01484375;-0.0007001489926778959;-0.0007099942129116243
20;0.015625;-0.0007483618624064547;-0.0004230875042310345
21;0.01640625;-0.0006794797874268473;-5.71675673199934e-05
22;0.0171875;-0.0004395360397211334;0.0003176885685813128
23;0.01796875;-5.042713257807918e-05;0.0006281869912830492
24;0.01875;0.0003835342754049028;0.000818083803854582
25;0.01953125;0.0007216359510001288;0.0008549490898417389
26;0.0203125;0.0008689051658924049;0.0007413093568212995
27;0.02109375;0.0008143769474979005;0.0005089778440302931
28;0.021875;0.0006142205791282626;0.0002135366974963896
29;0.02265625;0.0003326703644006557;-8.536373469307061e-05
30;0.0234375;1.12358789958004e-05;-0.000337949555406188
31;0.02421875;-0.0003220990441737588;-0.0005192444826510231
32;0.025;-0.0006182774004817778;-0.0006262639655479537
33;0.02578125;-0.0008049661836272056;-0.0006686600730555862
34;0.0265625;-0.0008192114378384;-0.0006492518296189095
35;0.02734375;-0.0006519259115502033;-0.0005568478634453792
36;0.028125;-0.0003536338818719287;-0.0003717515173491392
37;0.02890625;-4.44490054481624e-06;-9.066382717530057e-05
38;0.0296875;0.0003263173377376916;0.0002519165431067449
39;0.03046875;0.0005909471154647387;0.0005781576401962715
40;0.03125;0.0007528880062371476;0.0007931106745976043
41;0.03203125;0.0007771892010737247;0.0008257119307018002
42;0.0328125;0.0006454024195363672;0.0006645466526909635
43;0.03359375;0.0003766110730415069;0.0003607602831342168
44;0.034375;3.224697998878886e-05;1.316184485252355e-06
45;0.03515625;-0.0003078652670562103;-0.0003311708682455598
46;0.0359375;-0.0005751925813986721;-0.0005817347418807609
47;0.03671875;-0.0007278676312694188;-0.0007228118925392361
48;0.03750000000000001;-0.0007457340709133101;-0.0007390877297742312
49;0.03828125;-0.0006246989803363098;-0.0006217700277867758
50;0.0390625;-0.0003803664529774172;-0.0003782495136874786
51;0.03984375;-5.678565155638656e-05;-4.819320976897264e-05
52;0.040625;0.0002778704845241009;0.0002965067417714333
53;0.04140625000000001;0.0005509383389987003;0.0005733125801157257
54;0.0421875;0.0007088585396293942;0.0007211779898360268
55;0.04296875;0.0007275270791069488;0.0007192871479636173
56;0.04375;0.0006093111392146966;0.0005836679076764995
57;0.04453125;0.000376330458417821;0.0003492135629130644
58;0.04531250000000001;6.918927291129269e-05;5.658152196019728e-05
59;0.04609375;-0.0002539989039007651;-0.0002491378787018069
60;0.046875;-0.0005263774703034111;-0.0005145604845798365
61;0.04765625;-0.0006903236048003691;-0.0006835583558976547
62;0.0484375;-0.0007140501462477763;-0.0007142477029352298
63;0.04921875000000001;-0.000597540012696148;-0.000597418064046451
64;0.05;-0.0003674324362824185;-0.0003613584671787369
65;0.05078125;-6.87647126843179e-05;-6.05477761628966e-05
66;0.0515625;0.0002417630152725299;0.0002432022847642656
67;0.05234375;0.0005031663309106685;0.0004945128920136691
68;0.05312500000000001;0.00066209754807763;0.0006502958190139907
69;0.05390625;0.0006869748175783267;0.0006823075472463339
70;0.0546875;0.0005765143975130135;0.0005822919587596213
71;0.05546875;0.0003577050424799684;0.0003675293520473133
72;0.05625;7.583091165012472e-05;8.085580968023957e-05
73;0.05703125000000001;-0.0002161044373660085;-0.0002187882536475172
74;0.0578125;-0.0004650971764400917;-0.0004712290359141965
