x_phys_m;y_phys_m;z_phys_m;p_peak_Pa
69;-0.5795000000000001;-0.5795000000000001;0;7.9131225032188e-05
70;-0.5605;-0.5605;0;8.383476216072261e-05
71;-0.5415000000000001;-0.5415000000000001;0;8.90575238575819e-05
72;-0.5225;-0.5225;0;9.121803546797001e-05
73;-0.5035000000000001;-0.5035000000000001;0;9.589166089717761e-05
74;-0.4844999999999999;-0.4844999999999999;0;9.977787578994441e-05
75;-0.4655;-0.4655;0;0.0001022421742515992
76;-0.4464999999999999;-0.4464999999999999;0;0.00011067516967546
77;-0.4275;-0.4275;0;0.0001167842683898016
78;-0.4084999999999999;-0.4084999999999999;0;0.000116596803832969
79;-0.3895;-0.3895;0;0.0001248277514173271
80;-0.3704999999999998;-0.3704999999999998;0;0.0001356489888027529
81;-0.3515000000000001;-0.3515000000000001;0;0.00013882573330737
82;-0.3325;-0.3325;0;0.0001483665699800741
83;-0.3135000000000001;-0.3135000000000001;0;0.0001682981224700896
84;-0.2945;-0.2945;0;0.0001699722271623461
85;-0.2755000000000001;-0.2755000000000001;0;0.0001844887236889158
86;-0.2565;-0.2565;0;0.0002128855856586596
87;-0.2375;-0.2375;0;0.0002130309609553932
88;-0.2184999999999999;-0.2184999999999999;0;0.0002299170686368597
89;-0.1995;-0.1995;0;0.0002574234978502166
90;-0.1804999999999999;-0.1804999999999999;0;0.0002757501384160758
91;-0.1615;-0.1615;0;0.000322324460622758
92;-0.1424999999999998;-0.1424999999999998;0;0.0003766169153909686
93;-0.1234999999999999;-0.1234999999999999;0;0.0004196534090284026
94;-0.1045;-0.1045;0;0.0004747986422051474
95;-0.08550000000000013;-0.08550000000000013;0;0.0006456647596213131
96;-0.0665;-0.0665;0;0.0008557841854551355
97;-0.0475000000000001;-0.0475000000000001;0;0.001468119941454793
98;-0.02849999999999997;-0.02849999999999997;0;0.001999890419903628
99;-0.009500000000000064;-0.009500000000000064;0;0.001999890419903628
100;0.009499999999999842;0.009499999999999842;0;0.001999890419881739
101;0.02849999999999975;0.02849999999999975;0;0.001999890419837963
102;0.04749999999999988;0.04749999999999988;0;0.001468119941378191
103;0.06649999999999978;0.06649999999999978;0;0.0008557841852362535
104;0.08549999999999991;0.08549999999999991;0;0.0006456647593805446
105;0.1044999999999998;0.1044999999999998;0;0.0004747986422434532
106;0.1234999999999999;0.1234999999999999;0;0.0004196534090174581
107;0.1425000000000001;0.1425000000000001;0;0.000376616915511355
108;0.1614999999999998;0.1614999999999998;0;0.0003223244606774808
109;0.1804999999999999;0.1804999999999999;0;0.000275750138541935
110;0.1995;0.1995;0;0.0002574234976805806
111;0.2185000000000001;0.2185000000000001;0;0.0002299170686040268
112;0.2374999999999998;0.2374999999999998;0;0.0002130309610101149
113;0.2565;0.2565;0;0.0002128855854999681
114;0.2755000000000001;0.2755000000000001;0;0.0001844887234919191
115;0.2945000000000002;0.2945000000000002;0;0.0001699722270693202
116;0.3134999999999999;0.3134999999999999;0;0.0001682981224700899
117;0.3325;0.3325;0;0.0001483665700512117
118;0.3515000000000001;0.3515000000000001;0;0.00013882573330737
119;0.3705000000000003;0.3705000000000003;0;0.0001356489888410579
120;0.3895;0.3895;0;0.0001248277516033794
121;0.4085000000000001;0.4085000000000001;0;0.0001165968040299655
122;0.4275000000000002;0.4275000000000002;0;0.0001167842682694148
123;0.4465000000000003;0.4465000000000003;0;0.0001106751694894077
124;0.4655;0.4655;0;0.0001022421741476288
125;0.4844999999999997;0.4844999999999997;0;9.977787585560993e-05
126;0.5034999999999998;0.5034999999999998;0;9.589166078773521e-05
127;0.5225;0.5225;0;9.121803533116685e-05
128;0.5414999999999996;0.5414999999999996;0;8.905752381927734e-05
129;0.5604999999999998;0.5604999999999998;0;8.383476205675232e-05
130;0.5794999999999999;0.5794999999999999;0;7.913122508690923e-05
131;0.5985;0.5985;0;7.886145893283661e-05
132;0.6174999999999997;0.6174999999999997;0;7.643225858082604e-05
133;0.6364999999999998;0.6364999999999998;0;7.223759995320811e-05
134;0.6555;0.6555;0;7.087083424460916e-05
135;0.6745000000000001;0.6745000000000001;0;6.938427715417671e-05
136;0.6934999999999998;0.6934999999999998;0;6.604066233667266e-05
