iT;t;p1;p2
0;0;0.0009308737486731809;0.0006801727377834969
1;0.00078125;0.0008549153213457632;0.0007948490996223479
2;0.0015625;0.0007536909823704381;0.0008859002012610297
3;0.00234375;0.0006301634631218264;0.0009507275134254982
4;0.003125;0.0004880422717248708;0.000987334026082745
5;0.00390625;0.0003315008268660801;0.0009947309828583033
6;0.004687500000000001;0.0001652212340806826;0.0009726273855946132
7;0.005468750000000001;-5.909033686444247e-06;0.0009217695589069516
8;0.00625;-0.0001767814498407288;0.0008435954478100454
9;0.00703125;-0.0003423744029303906;0.0007405071670196494
10;0.0078125;-0.0004977490291602298;0.000615491706258297
11;0.008593750000000001;-0.0006383445517536983;0.0004723325962766689
12;0.009375000000000001;-0.0007599676497641502;0.0003152044519221064
13;0.01015625;-0.0008590584909809354;0.0001488352223499277
14;0.0109375;-0.0009326573144955004;-2.191312322506571e-05
15;0.01171875;-0.0009786270797821509;-0.0001919158765239398
16;0.0125;-0.000995584470903839;-0.0003562013443268875
17;0.01328125;-0.0009830693709505765;-0.0005098322134137466
18;0.0140625;-0.0009414324792232559;-0.0006482911242776812
19;0.01484375;-0.000871947284467861;-0.0007673508460842308
20;0.015625;-0.0007766522907804782;-0.0008634447986601469
21;0.01640625;-0.0006584069062973275;-0.0009336019955055621
22;0.0171875;-0.0005206914154745663;-0.0009759073264478722
23;0.01796875;-0.0003676119390310513;-0.0009894836472987374
24;0.01875;-0.0002036639001213623;-0.0009747093778707509
25;0.01953125;-3.369624286875555e-05;-0.0009326118568778857
26;0.0203125;0.0001373395590246991;-0.0008643819643773107
27;0.02109375;0.0003044192917699621;-0.0007706736424240802
28;0.021875;0.0004626404688507168;-0.000652174371188777
29;0.02265625;0.0006071843888017701;-0.0005108078795265258
30;0.0234375;0.0007334804761238937;-0.0003514675933790632
31;0.02421875;0.0008372893060509982;-0.0001819609554504241
32;0.025;0.0009151521274279776;-1.10426120479084e-05
33;0.02578125;0.0009647955497683371;0.0001550780330299863
34;0.0265625;0.0009855862649632409;0.0003143261159038612
35;0.02734375;0.0009783281500814723;0.000467118071786829
36;0.028125;0.0009445652451351622;0.0006118681564505964
37;0.02890625;0.0008854026327959905;0.0007421916419505685
38;0.0296875;0.0008009888535535156;0.0008484766232431204
39;0.03046875;0.000691103441767335;0.0009235460030695299
40;0.03125;0.0005570457397218076;0.0009668167098760802
41;0.03203125;0.0004032717127660182;0.0009831051567485516
42;0.0328125;0.0002374300476603284;0.0009764195641068973
43;0.03359375;6.796989725065505e-05;0.0009453025346114631
44;0.034375;-9.896308708083449e-05;0.0008843316118351827
45;0.03515625;-0.0002610149107250248;0.0007909478874754695
46;0.0359375;-0.000417734170734846;0.0006701130231218128
47;0.03671875;-0.0005668878687752727;0.000531986022828125
48;0.03750000000000001;-0.0007021443645474198;0.0003844506632300079
49;0.03828125;-0.0008148348171726272;0.0002288203491322801
50;0.0390625;-0.0008984430007244336;6.307977618443168e-05
51;0.03984375;-0.0009519665890711799;-0.000110610017283008
52;0.040625;-0.0009786401159759936;-0.0002829967677232106
53;0.04140625000000001;-0.0009812235074222358;-0.0004426026223020156
54;0.0421875;-0.000958306795462756;-0.0005833797975573225
55;0.04296875;-0.0009056582532451245;-0.0007062760825925002
56;0.04375;-0.000821299291750639;-0.0008133442530085168
57;0.04453125;-0.0007092865022184527;-0.0009010541532418535
58;0.04531250000000001;-0.0005779773696747294;-0.0009609763940826899
59;0.04609375;-0.0004345261732697912;-0.0009868463616231624
60;0.046875;-0.0002811682467739432;-0.0009800483626889534
61;0.04765625;-0.0001173520937390797;-0.0009468844290579881
62;0.0484375;5.475887054708491e-05;-0.0008912002291145265
63;0.04921875000000001;0.0002274008750406397;-0.0008109012049472606
64;0.05;0.0003904229642001963;-0.0007026578097445539
65;0.05078125;0.0005371350925035402;-0.0005687954000659689
66;0.0515625;0.0006665743737852117;-0.0004182373637337295
67;0.05234375;0.0007796811214183581;-0.0002601272278097936
68;0.05312500000000001;0.0008739302851889432;-9.799365176295614e-05
69;0.05390625;0.0009425093994568028;6.887446617586969e-05
70;0.0546875;0.0009791814236429965;0.0002385932662232716
71;0.05546875;0.0009832495043506683;0.0004031413003688523
72;0.05625;0.000959095612488564;0.0005523345745590774
73;0.05703125000000001;0.0009107990665578846;0.0006806952839428253
74;0.0578125;0.0008381900898833724;0.0007887610550365103
