iT;t;p
0;0;1.03615e-319
1;0.00078125;2.07231e-319
2;0.0015625;3.10846e-319
3;0.00234375;4.14462e-319
4;0.003125;5.18077e-319
5;0.00390625;6.21693e-319
6;0.0046875;7.25308e-319
7;0.00546875;8.28924e-319
8;0.00625;9.32539e-319
9;0.00703125;1.03615e-318
10;0.0078125;1.13977e-318
11;0.00859375;1.24339e-318
12;0.009375;1.347e-318
13;0.0101563;1.45062e-318
14;0.0109375;1.55423e-318
15;0.0117188;1.65785e-318
16;0.0125;1.76146e-318
17;0.0132813;1.86508e-318
18;0.0140625;1.96869e-318
19;0.0148438;2.07231e-318
20;0.015625;2.17592e-318
21;0.0164063;2.27954e-318
22;0.0171875;2.38316e-318
23;0.0179688;2.48677e-318
24;0.01875;2.59039e-318
25;0.0195312;2.694e-318
26;0.0203125;2.79762e-318
27;0.0210938;2.90123e-318
28;0.021875;3.00485e-318
29;0.0226563;3.10846e-318
30;0.0234375;3.21208e-318
31;0.0242188;3.31569e-318
32;0.025;3.41931e-318
33;0.0257813;3.52293e-318
34;0.0265625;3.62654e-318
35;0.0273438;3.73016e-318
36;0.028125;3.83377e-318
37;0.0289063;3.93739e-318
38;0.0296875;4.041e-318
39;0.0304688;4.14462e-318
40;0.03125;4.24823e-318
41;0.0320313;4.35185e-318
42;0.0328125;4.45546e-318
43;0.0335937;4.55908e-318
44;0.034375;4.6627e-318
45;0.0351562;4.76631e-318
46;0.0359375;4.86993e-318
47;0.0367188;4.97354e-318
48;0.0375;5.07716e-318
49;0.0382813;5.18077e-318
50;0.0390625;5.28439e-318
51;0.0398438;5.388e-318
52;0.040625;5.49162e-318
53;0.0414063;5.59523e-318
54;0.0421875;5.69885e-318
55;0.0429688;5.80247e-318
56;0.04375;5.90608e-318
57;0.0445313;6.0097e-318
58;0.0453125;6.11331e-318
59;0.0460938;6.21693e-318
60;0.046875;6.32054e-318
61;0.0476563;6.42416e-318
62;0.0484375;6.52777e-318
63;0.0492188;6.63139e-318
64;0.05;6.735e-318
65;0.0507812;6.83862e-318
66;0.0515625;6.94223e-318
67;0.0523438;7.04585e-318
68;0.053125;7.14947e-318
69;0.0539063;7.25308e-318
70;0.0546875;7.3567e-318
71;0.0554688;7.46031e-318
72;0.05625;7.56393e-318
73;0.0570313;7.66754e-318
74;0.0578125;7.77116e-318
75;0.0585938;7.87477e-318
76;0.059375;7.97839e-318
77;0.0601563;8.082e-318
78;0.0609375;8.18562e-318
79;0.0617188;8.28924e-318
80;0.0625;8.39285e-318
81;0.0632812;8.49647e-318
82;0.0640625;8.60008e-318
83;0.0648438;8.7037e-318
84;0.065625;8.80731e-318
85;0.0664062;8.91093e-318
86;0.0671875;9.01454e-318
87;0.0679688;9.11816e-318
88;0.06875;9.22177e-318
89;0.0695313;9.32539e-318
90;0.0703125;9.42901e-318
91;0.0710937;9.53262e-318
92;0.071875;9.63624e-318
93;0.0726563;9.73985e-318
94;0.0734375;9.84347e-318
95;0.0742188;9.94708e-318
96;0.075;1.00507e-317
97;0.0757813;1.01543e-317
98;0.0765625;1.02579e-317
99;0.0773438;1.03615e-317
100;0.078125;1.04652e-317
101;0.0789063;1.05688e-317
102;0.0796875;1.06724e-317
103;0.0804688;1.0776e-317
104;0.08125;1.08796e-317
105;0.0820312;1.09832e-317
106;0.0828125;1.10869e-317
107;0.0835938;1.11905e-317
108;0.084375;1.12941e-317
109;0.0851563;1.13977e-317
110;0.0859375;1.15013e-317
111;0.0867188;1.16049e-317
112;0.0875;1.17085e-317
113;0.0882813;1.18122e-317
114;0.0890625;1.19158e-317
115;0.0898438;1.20194e-317
116;0.090625;1.2123e-317
117;0.0914063;1.22266e-317
118;0.0921875;1.23302e-317
119;0.0929688;1.24339e-317
120;0.09375;1.25375e-317
121;0.0945313;1.26411e-317
122;0.0953125;1.27447e-317
123;0.0960938;1.28483e-317
124;0.096875;1.29519e-317
125;0.0976562;1.30555e-317
126;0.0984375;1.31592e-317
127;0.0992188;1.32628e-317
128;0.1;1.33664e-317
129;0.100781;1.347e-317
130;0.101562;1.35736e-317
131;0.102344;1.36772e-317
132;0.103125;1.37809e-317
133;0.103906;1.38845e-317
134;0.104688;1.39881e-317
135;0.105469;1.40917e-317
136;0.10625;1.41953e-317
137;0.107031;1.42989e-317
138;0.107813;1.44025e-317
139;0.108594;1.45062e-317
140;0.109375;1.46098e-317
141;0.110156;1.47134e-317
142;0.110938;1.4817e-317
143;0.111719;1.49206e-317
144;0.1125;1.50242e-317
145;0.113281;1.51279e-317
146;0.114063;1.52315e-317
147;0.114844;1.53351e-317
148;0.115625;1.54387e-317
149;0.116406;1.55423e-317
