x_phys_m;y_phys_m;z_phys_m;p_peak_Pa
0;-2.4875;-2.4875;0;2.204522610327329e-05
1;-2.4625;-2.4625;0;1.992452835490136e-05
2;-2.4375;-2.4375;0;1.709434337726631e-05
3;-2.4125;-2.4125;0;2.133429990180959e-05
4;-2.3875;-2.3875;0;2.438994890023118e-05
5;-2.3625;-2.3625;0;2.561896872066427e-05
6;-2.3375;-2.3375;0;2.50130593334082e-05
7;-2.3125;-2.3125;0;2.854005193360841e-05
8;-2.2875;-2.2875;0;3.312513518949343e-05
9;-2.2625;-2.2625;0;3.658732348791691e-05
10;-2.2375;-2.2375;0;3.88899671861509e-05
11;-2.2125;-2.2125;0;3.937405712880113e-05
12;-2.1875;-2.1875;0;3.740925563988638e-05
13;-2.1625;-2.1625;0;3.366171216612201e-05
14;-2.1375;-2.1375;0;2.944361794258538e-05
15;-2.1125;-2.1125;0;2.875470408033228e-05
16;-2.0875;-2.0875;0;2.840106807866505e-05
17;-2.0625;-2.0625;0;2.864016546292685e-05
18;-2.0375;-2.0375;0;2.974751839701632e-05
19;-2.0125;-2.0125;0;3.801276479483311e-05
20;-1.9875;-1.9875;0;4.349237387183771e-05
21;-1.9625;-1.9625;0;4.679776729214306e-05
22;-1.9375;-1.9375;0;4.945208953207233e-05
23;-1.9125;-1.9125;0;4.628612642439599e-05
24;-1.8875;-1.8875;0;4.047349650212104e-05
25;-1.8625;-1.8625;0;3.456590847387515e-05
26;-1.8375;-1.8375;0;3.413728625408414e-05
27;-1.8125;-1.8125;0;3.380773399423258e-05
28;-1.7875;-1.7875;0;3.385197715033431e-05
29;-1.7625;-1.7625;0;3.621909669012271e-05
30;-1.7375;-1.7375;0;4.530802425506408e-05
31;-1.7125;-1.7125;0;5.113470641996782e-05
32;-1.6875;-1.6875;0;5.345444590905876e-05
33;-1.6625;-1.6625;0;5.26942201683293e-05
34;-1.6375;-1.6375;0;4.857324402488917e-05
35;-1.6125;-1.6125;0;4.357997931947466e-05
36;-1.5875;-1.5875;0;4.135718364750571e-05
37;-1.5625;-1.5625;0;3.987162476922397e-05
38;-1.5375;-1.5375;0;4.041025518593718e-05
39;-1.5125;-1.5125;0;4.171179306429924e-05
40;-1.4875;-1.4875;0;4.156534835904797e-05
41;-1.4625;-1.4625;0;4.328735626775897e-05
42;-1.4375;-1.4375;0;5.435732392318943e-05
43;-1.4125;-1.4125;0;5.921428847462568e-05
44;-1.3875;-1.3875;0;5.620087025211736e-05
45;-1.3625;-1.3625;0;5.16669124976943e-05
46;-1.3375;-1.3375;0;4.838840513343712e-05
47;-1.3125;-1.3125;0;4.914295724726495e-05
48;-1.2875;-1.2875;0;5.037329133491168e-05
49;-1.2625;-1.2625;0;5.031407950658223e-05
50;-1.2375;-1.2375;0;5.119554315532089e-05
51;-1.2125;-1.2125;0;5.448334719441543e-05
52;-1.1875;-1.1875;0;5.732470674502111e-05
53;-1.1625;-1.1625;0;5.860992141985361e-05
54;-1.1375;-1.1375;0;6.00032111985153e-05
55;-1.1125;-1.1125;0;6.028676773439658e-05
56;-1.0875;-1.0875;0;6.041302598684225e-05
57;-1.0625;-1.0625;0;6.288895783275919e-05
58;-1.0375;-1.0375;0;6.386840443421234e-05
59;-1.0125;-1.0125;0;6.456429569349587e-05
60;-0.9875;-0.9875;0;6.66405503390403e-05
61;-0.9624999999999999;-0.9624999999999999;0;7.003575679694528e-05
62;-0.9375;-0.9375;0;7.058421401022012e-05
63;-0.9125000000000001;-0.9125000000000001;0;7.428609725934617e-05
64;-0.8875;-0.8875;0;7.88584124791214e-05
65;-0.8624999999999998;-0.8624999999999998;0;7.728886642629124e-05
66;-0.8374999999999999;-0.8374999999999999;0;7.869344438897011e-05
67;-0.8125;-0.8125;0;8.367681140460562e-05
68;-0.7874999999999999;-0.7874999999999999;0;8.643256241687899e-05
69;-0.7625000000000002;-0.7625000000000002;0;8.80348740205741e-05
70;-0.7375;-0.7375;0;9.072854695091337e-05
71;-0.7125000000000001;-0.7125000000000001;0;9.679066090484406e-05
72;-0.6875;-0.6875;0;0.0001012611292499817
73;-0.6625000000000001;-0.6625000000000001;0;0.0001073688667455977
74;-0.6375;-0.6375;0;0.0001075249157527954
75;-0.6125;-0.6125;0;0.0001107119965979563
76;-0.5874999999999999;-0.5874999999999999;0;0.0001204160880282264
77;-0.5625;-0.5625;0;0.0001227521445912316
78;-0.5374999999999999;-0.5374999999999999;0;0.0001204879615859984
79;-0.5125;-0.5125;0;0.0001339866494068549
80;-0.4874999999999998;-0.4874999999999998;0;0.0001454127216883686
81;-0.4625000000000004;-0.4625000000000004;0;0.0001481979879448163
82;-0.4375;-0.4375;0;0.0001620401684855701
83;-0.4125000000000001;-0.4125000000000001;0;0.0001819271107403132
84;-0.3875000000000002;-0.3875000000000002;0;0.0001752896732322523
85;-0.3624999999999998;-0.3624999999999998;0;0.00019294949572668
86;-0.3374999999999999;-0.3374999999999999;0;0.0002254333111106158
87;-0.3125;-0.3125;0;0.0002084203605837349
88;-0.2875000000000001;-0.2875000000000001;0;0.000232764800510191
89;-0.2625000000000002;-0.2625000000000002;0;0.0002761944370869665
90;-0.2374999999999998;-0.2374999999999998;0;0.0002563241030202339
91;-0.2124999999999999;-0.2124999999999999;0;0.0003356876691592943
92;-0.1875;-0.1875;0;0.0004112483055109805
93;-0.1624999999999996;-0.1624999999999996;0;0.0004475931106261065
94;-0.1375000000000002;-0.1375000000000002;0;0.000536834699621142
95;-0.1125000000000003;-0.1125000000000003;0;0.0005996147007086468
96;-0.08749999999999991;-0.08749999999999991;0;0.000759308503205597
97;-0.0625;-0.0625;0;0.001485556256540108
98;-0.03750000000000009;-0.03750000000000009;0;0.001999890419938311
