x_phys_m;p_rms_Pa
0;-2.4875;8.897676649951315e-06
1;-2.4625;6.135886338235087e-06
2;-2.4375;1.112440911128186e-05
3;-2.4125;1.762963045956912e-05
4;-2.3875;2.253727377137369e-05
5;-2.3625;2.566029874328738e-05
6;-2.3375;2.642229741690872e-05
7;-2.3125;2.482864067437603e-05
8;-2.2875;2.136224530124475e-05
9;-2.2625;1.686755904625697e-05
10;-2.2375;1.332382865816959e-05
11;-2.2125;1.280972803573638e-05
12;-2.1875;1.593195735952755e-05
13;-2.1625;2.041184563523051e-05
14;-2.1375;2.417747468750012e-05
15;-2.1125;2.681518466056692e-05
16;-2.0875;2.699691624680978e-05
17;-2.0625;2.503620826441767e-05
18;-2.0375;2.263527631436563e-05
19;-2.0125;2.040347469178747e-05
20;-1.9875;1.897979918839648e-05
21;-1.9625;1.925186628314822e-05
22;-1.9375;2.102614952042519e-05
23;-1.9125;2.40547007092303e-05
24;-1.8875;2.707949629190682e-05
25;-1.8625;2.924816764053449e-05
26;-1.8375;2.922727763605751e-05
27;-1.8125;2.758021488705997e-05
28;-1.7875;2.621038103523842e-05
29;-1.7625;2.539628053820867e-05
30;-1.7375;2.50538175858801e-05
31;-1.7125;2.623705819511242e-05
32;-1.6875;2.789379583426172e-05
33;-1.6625;2.98478265507319e-05
34;-1.6375;3.188953464472716e-05
35;-1.6125;3.286520694655361e-05
36;-1.5875;3.232540707835501e-05
37;-1.5625;3.228237005588948e-05
38;-1.5375;3.261754508335245e-05
39;-1.5125;3.270708614463684e-05
40;-1.4875;3.324818991979985e-05
41;-1.4625;3.423174403453096e-05
42;-1.4375;3.556907303587144e-05
43;-1.4125;3.823331162905989e-05
44;-1.3875;3.92301106528633e-05
45;-1.3625;3.809095569352089e-05
46;-1.3375;3.810044931245417e-05
47;-1.3125;4.066542965384598e-05
48;-1.2875;4.279660612221176e-05
49;-1.2625;4.338329579636487e-05
50;-1.2375;4.288714949945999e-05
51;-1.2125;4.250789981867498e-05
52;-1.1875;4.503168196749826e-05
53;-1.1625;5.205863508393577e-05
54;-1.1375;5.393963889431374e-05
55;-1.1125;4.958238801574851e-05
56;-1.0875;4.841089352807029e-05
57;-1.0625;5.043868581260851e-05
58;-1.0375;5.224459988378663e-05
59;-1.0125;5.69563578535548e-05
60;-0.9875;5.986470548607423e-05
61;-0.9624999999999999;6.068572553456992e-05
62;-0.9375;6.499402355126742e-05
63;-0.9125000000000001;7.079426543482344e-05
64;-0.8875;6.86391753656304e-05
65;-0.8624999999999998;6.503445257734543e-05
66;-0.8374999999999999;6.851247897382772e-05
67;-0.8125;7.351863438404833e-05
68;-0.7874999999999999;7.714660258135406e-05
69;-0.7625000000000002;7.944318645492143e-05
70;-0.7375;7.836658404930268e-05
71;-0.7125000000000001;8.405860409967108e-05
72;-0.6875;9.546207375641181e-05
73;-0.6625000000000001;0.0001036563924484547
74;-0.6375;0.0001051184833934217
75;-0.6125;0.0001102673474176843
76;-0.5874999999999999;0.0001123715814110191
77;-0.5625;0.0001090339896658573
78;-0.5374999999999999;0.0001093429134608239
79;-0.5125;0.0001058869957345212
80;-0.4874999999999998;0.0001143498411996485
81;-0.4625000000000004;0.000155827487714574
82;-0.4375;0.0001783548277531823
83;-0.4125000000000001;0.0001809847780840155
84;-0.3875000000000002;0.0001832605983537215
85;-0.3624999999999998;0.0001899880898614762
86;-0.3374999999999999;0.0002020969728964517
87;-0.3125;0.00021704065586994
88;-0.2875000000000001;0.0002196226341030241
89;-0.2625000000000002;0.0002212771880656768
90;-0.2374999999999998;0.00026381706547929
91;-0.2124999999999999;0.000345291936564848
92;-0.1875;0.0004028255385904155
93;-0.1624999999999996;0.0004630329373747086
94;-0.1375000000000002;0.0006624046580379606
95;-0.1125000000000003;0.001113263852398069
96;-0.08749999999999991;0.001363501613243089
97;-0.0625;0.001363501613248264
98;-0.03750000000000009;0.001363501613248215
99;-0.01250000000000018;0.00136350161324294
100;0.01249999999999973;0.001363501613245078
101;0.03749999999999964;0.001363501613254628
102;0.0625;0.001163856175192882
103;0.08749999999999991;0.0007815399241687845
104;0.1124999999999998;0.0005772278902374038
105;0.1374999999999997;0.0005326029932414102
106;0.1624999999999996;0.0004911818197103278
107;0.1875;0.0004464205135513534
108;0.2124999999999999;0.0003581293031084502
109;0.2374999999999998;0.0002446162270202588
110;0.2625000000000002;0.0002243059385373962
111;0.2875000000000001;0.0002229265911229048
112;0.3125;0.0002079887153136331
113;0.3374999999999999;0.0001885186553509405
114;0.3624999999999998;0.0001765948567788025
115;0.3875000000000002;0.0001747742575645554
116;0.4125000000000001;0.0001771313545096528
117;0.4375;0.0001711282920448271
118;0.4625000000000004;0.0001511189098612141
119;0.4875000000000003;0.0001220236393511407
120;0.5125000000000002;0.0001146765188945988
121;0.5375000000000001;0.0001113304782134691
122;0.5625;0.000102331163090991
123;0.5875000000000004;0.0001047017723433573
124;0.6125000000000003;0.0001091703471745714
125;0.6374999999999997;0.0001071105154839827
126;0.6624999999999996;0.0001046987518417569
127;0.6875;9.329380358898511e-05
128;0.7124999999999999;8.17953070698875e-05
129;0.7374999999999998;8.153456609643443e-05
130;0.7624999999999997;8.301539034997083e-05
131;0.7874999999999996;7.758089103432678e-05
132;0.8125;7.269507232757296e-05
133;0.8374999999999999;6.83580432842152e-05
134;0.8624999999999998;6.66640317927477e-05
135;0.8875000000000002;6.827429047939426e-05
136;0.9125000000000001;6.7819628776526e-05
137;0.9375;6.292633621928242e-05
138;0.9624999999999999;6.147403158496175e-05
139;0.9874999999999998;6.407959457265131e-05
140;1.0125;6.109731136370844e-05
141;1.0375;5.16860838567092e-05
142;1.0625;4.763731516863171e-05
143;1.0875;4.762134356252015e-05
144;1.1125;5.002062546682992e-05
145;1.1375;5.49320910050109e-05
146;1.1625;5.302948824529566e-05
147;1.1875;4.492330231968039e-05
148;1.2125;4.275121810121677e-05
149;1.2375;4.343378788289508e-05
150;1.2625;4.286766082592157e-05
151;1.2875;4.228480584777652e-05
152;1.3125;4.119366587394117e-05
153;1.3375;3.964690129827415e-05
154;1.3625;3.940811220693676e-05
155;1.3875;3.857279878206181e-05
156;1.4125;3.654234912117144e-05
157;1.4375;3.463062678129583e-05
158;1.4625;3.445792798740406e-05
159;1.4875;3.437751691180166e-05
160;1.5125;3.36190522140562e-05
161;1.5375;3.290010075689476e-05
162;1.5625;3.256706199180497e-05
163;1.5875;3.236323772939821e-05
164;1.6125;3.250751275751974e-05
165;1.6375;3.13732110940365e-05
166;1.6625;2.941411509829579e-05
167;1.6875;2.827137856316871e-05
168;1.7125;2.698035340865634e-05
169;1.7375;2.496218613105424e-05
170;1.7625;2.497229031659142e-05
171;1.787500000000001;2.619935291692434e-05
172;1.8125;2.803716335518792e-05
173;1.8375;3.023279095401796e-05
174;1.862500000000001;3.00074504961159e-05
175;1.887499999999999;2.68800380146138e-05
176;1.9125;2.350106973998565e-05
177;1.9375;2.055691851582232e-05
178;1.962499999999999;1.883760165268822e-05
179;1.9875;1.886467489718378e-05
180;2.0125;2.081554523148503e-05
181;2.0375;2.375067079900617e-05
182;2.0625;2.629291860221305e-05
183;2.0875;2.769579554934057e-05
184;2.1125;2.690758392552841e-05
185;2.1375;2.373391661137884e-05
186;2.1625;1.978445051048293e-05
187;2.1875;1.557653472617923e-05
188;2.2125;1.270196179492542e-05
189;2.2375;1.363877548211445e-05
190;2.2625;1.765589190357875e-05
191;2.2875;2.234386912991708e-05
192;2.3125;2.579059480766295e-05
193;2.3375;2.72428248684235e-05
194;2.3625;2.619132949635731e-05
195;2.3875;2.265804881124245e-05
196;2.412500000000001;1.735358311724971e-05
197;2.4375;1.047589776665433e-05
198;2.4625;5.634159158618868e-06
199;2.487500000000001;9.657218640620915e-06
