x_phys_m;y_phys_m;z_phys_m;p_peak_Pa
142;2.125;2.125;0;6.941018640797368e-05
143;2.175000000000001;2.175000000000001;0;6.824819888606728e-05
144;2.225000000000001;2.225000000000001;0;6.827419160041845e-05
145;2.275;2.275;0;6.461444642506346e-05
146;2.325;2.325;0;6.361015781900885e-05
147;2.375;2.375;0;6.491785344072307e-05
148;2.425000000000001;2.425000000000001;0;6.27633209736207e-05
149;2.475000000000001;2.475000000000001;0;5.482477820351048e-05
150;2.524999999999999;2.524999999999999;0;5.578642643892326e-05
151;2.574999999999999;2.574999999999999;0;5.817579104435327e-05
152;2.625;2.625;0;5.43535144667355e-05
153;2.675;2.675;0;5.515931574488298e-05
154;2.725;2.725;0;6.081406233230757e-05
155;2.774999999999999;2.774999999999999;0;6.369194132579033e-05
156;2.824999999999999;2.824999999999999;0;6.520267925225212e-05
157;2.875;2.875;0;5.878651912401752e-05
158;2.925;2.925;0;4.766740501812223e-05
159;2.975;2.975;0;4.761311250452605e-05
160;3.025;3.025;0;4.880819824393254e-05
161;3.074999999999999;3.074999999999999;0;4.612113313366237e-05
162;3.125;3.125;0;4.508970679732255e-05
163;3.175000000000001;3.175000000000001;0;4.914279971520356e-05
164;3.225;3.225;0;4.868510495725767e-05
165;3.275;3.275;0;5.78357287395191e-05
166;3.324999999999999;3.324999999999999;0;6.28331457240469e-05
167;3.375;3.375;0;6.338049486960998e-05
168;3.425000000000001;3.425000000000001;0;6.079094130958156e-05
169;3.475;3.475;0;5.214437275450733e-05
170;3.525;3.525;0;4.072919682585045e-05
171;3.575000000000001;3.575000000000001;0;4.001433959880769e-05
172;3.625;3.625;0;3.970045967586579e-05
173;3.675000000000001;3.675000000000001;0;4.067292820764125e-05
174;3.725000000000001;3.725000000000001;0;4.041711235913683e-05
175;3.774999999999999;3.774999999999999;0;4.643080410460204e-05
176;3.824999999999999;3.824999999999999;0;5.503076628580538e-05
177;3.875;3.875;0;5.825031204646317e-05
178;3.924999999999999;3.924999999999999;0;5.622760598574452e-05
179;3.975;3.975;0;5.249849505162277e-05
180;4.025;4.025;0;4.506369070137823e-05
181;4.074999999999999;4.074999999999999;0;3.51459533097418e-05
182;4.125;4.125;0;3.417627272028768e-05
183;4.175000000000001;4.175000000000001;0;3.517307372173194e-05
184;4.225;4.225;0;3.393417061185279e-05
185;4.275;4.275;0;3.526391882739202e-05
186;4.324999999999999;4.324999999999999;0;4.068697868812389e-05
187;4.375;4.375;0;4.450531893477687e-05
188;4.425000000000001;4.425000000000001;0;4.779953890950615e-05
189;4.475;4.475;0;4.818192625558977e-05
190;4.525;4.525;0;4.329921974507058e-05
191;4.574999999999999;4.574999999999999;0;3.902393685469485e-05
192;4.625;4.625;0;3.503322500364473e-05
193;4.675000000000001;4.675000000000001;0;3.014793711978808e-05
194;4.725;4.725;0;3.133944953030243e-05
195;4.775;4.775;0;3.009415786436881e-05
196;4.825000000000001;4.825000000000001;0;2.584667413429995e-05
197;4.875;4.875;0;2.158065194635119e-05
198;4.925000000000001;4.925000000000001;0;2.522234437189278e-05
199;4.975000000000001;4.975000000000001;0;3.059935814538548e-05
