x_phys_m;y_phys_m;z_phys_m;p_rms_Pa
135;1.775;1.775;0;4.685563160105513e-05
136;1.825;1.825;0;4.403353005438013e-05
137;1.875;1.875;0;4.333526383660157e-05
138;1.925;1.925;0;4.227164563126616e-05
139;1.975;1.975;0;3.700969053204939e-05
140;2.025;2.025;0;3.636481844402985e-05
141;2.075;2.075;0;3.86211938379231e-05
142;2.125;2.125;0;3.657999700114109e-05
143;2.175000000000001;2.175000000000001;0;3.492386128307176e-05
144;2.225000000000001;2.225000000000001;0;3.508934081176945e-05
145;2.275;2.275;0;3.281441971413193e-05
146;2.325;2.325;0;3.133140502999007e-05
147;2.375;2.375;0;3.210717167716978e-05
148;2.425000000000001;2.425000000000001;0;3.093573058761356e-05
149;2.475000000000001;2.475000000000001;0;2.714138992831133e-05
150;2.524999999999999;2.524999999999999;0;2.666693850867017e-05
151;2.574999999999999;2.574999999999999;0;2.759885277300704e-05
152;2.625;2.625;0;2.574658600899415e-05
153;2.675;2.675;0;2.699977872123819e-05
154;2.725;2.725;0;2.746458901654703e-05
155;2.774999999999999;2.774999999999999;0;2.561109585344729e-05
156;2.824999999999999;2.824999999999999;0;2.488185216988392e-05
157;2.875;2.875;0;2.456974147701995e-05
158;2.925;2.925;0;2.182071796315653e-05
159;2.975;2.975;0;2.095621658996877e-05
160;3.025;3.025;0;2.117363055966821e-05
161;3.074999999999999;3.074999999999999;0;1.930691330549858e-05
162;3.125;3.125;0;1.879409761610494e-05
163;3.175000000000001;3.175000000000001;0;2.090324805946342e-05
164;3.225;3.225;0;2.000647480398935e-05
165;3.275;3.275;0;2.056965899209152e-05
166;3.324999999999999;3.324999999999999;0;2.105741954103614e-05
167;3.375;3.375;0;2.03526380551478e-05
168;3.425000000000001;3.425000000000001;0;1.9410158542162e-05
169;3.475;3.475;0;1.743274981246375e-05
170;3.525;3.525;0;1.56251739684764e-05
171;3.575000000000001;3.575000000000001;0;1.46357213209187e-05
172;3.625;3.625;0;1.407489582854187e-05
173;3.675000000000001;3.675000000000001;0;1.507010332517823e-05
174;3.725000000000001;3.725000000000001;0;1.511086909146088e-05
175;3.774999999999999;3.774999999999999;0;1.604001005214859e-05
176;3.824999999999999;3.824999999999999;0;1.715753089545657e-05
177;3.875;3.875;0;1.67793742780131e-05
178;3.924999999999999;3.924999999999999;0;1.581985212668054e-05
179;3.975;3.975;0;1.470290817013686e-05
